timestamp,wind_infeed_mw,corridor_flow_mw,static_rating_mva,dlr_capacity_mva,curtailment_static_mw,curtailment_dlr_mw,redispatch_cost_static_eur,redispatch_cost_dlr_eur
2026-08-01 00:00:00,49.1,9.62,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 01:00:00,50.05,9.62,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 02:00:00,62.65,12.39,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 03:00:00,75.83,17.4,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 04:00:00,67.06,25.3,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 05:00:00,72.49,33.71,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 06:00:00,92.49,41.75,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 07:00:00,90.4,51.22,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 08:00:00,84.31,57.29,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 09:00:00,96.22,67.24,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 10:00:00,90.89,68.71,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 11:00:00,93.2,78.71,75.0,123.75,3.71,0.0,593.69,0.0
2026-08-01 12:00:00,100.71,75.15,75.0,123.75,0.15,0.0,23.67,0.0
2026-08-01 13:00:00,83.92,70.73,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 14:00:00,85.77,66.94,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 15:00:00,94.95,65.1,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 16:00:00,90.13,56.77,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 17:00:00,99.3,50.98,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 18:00:00,86.77,42.17,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 19:00:00,79.54,32.84,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 20:00:00,99.63,23.72,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 21:00:00,81.48,15.98,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 22:00:00,79.21,13.3,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-01 23:00:00,61.78,12.89,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 00:00:00,63.57,10.55,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 01:00:00,63.21,8.64,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 02:00:00,46.8,14.54,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 03:00:00,53.27,19.85,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 04:00:00,45.0,23.63,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 05:00:00,45.0,33.32,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 06:00:00,45.0,41.3,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 07:00:00,45.0,47.02,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 08:00:00,45.0,58.08,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 09:00:00,45.0,65.34,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 10:00:00,45.0,71.79,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 11:00:00,45.0,75.07,75.0,123.75,0.07,0.0,11.45,0.0
2026-08-02 12:00:00,45.0,70.78,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 13:00:00,45.0,70.62,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 14:00:00,45.0,70.52,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 15:00:00,45.0,65.24,75.0,122.68,0.0,0.0,0.0,0.0
2026-08-02 16:00:00,45.0,58.43,75.0,121.49,0.0,0.0,0.0,0.0
2026-08-02 17:00:00,45.0,57.82,75.0,120.79,0.0,0.0,0.0,0.0
2026-08-02 18:00:00,45.0,42.39,75.0,121.35,0.0,0.0,0.0,0.0
2026-08-02 19:00:00,45.0,35.38,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 20:00:00,45.0,27.44,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 21:00:00,45.0,20.39,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 22:00:00,45.0,13.54,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-02 23:00:00,45.0,12.68,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 00:00:00,45.0,8.55,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 01:00:00,45.0,10.66,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 02:00:00,45.0,13.2,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 03:00:00,45.0,19.22,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 04:00:00,45.0,30.27,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 05:00:00,45.0,29.09,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 06:00:00,45.0,42.64,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 07:00:00,48.55,46.01,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 08:00:00,45.0,56.28,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 09:00:00,50.7,66.5,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 10:00:00,62.05,69.49,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 11:00:00,73.26,70.26,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 12:00:00,66.89,72.21,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 13:00:00,74.61,74.17,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 14:00:00,71.93,67.71,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 15:00:00,75.63,64.54,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 16:00:00,96.14,57.35,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 17:00:00,103.99,48.04,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 18:00:00,94.97,45.72,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 19:00:00,105.96,34.32,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 20:00:00,102.11,21.3,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 21:00:00,94.56,19.46,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 22:00:00,102.92,12.88,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-03 23:00:00,111.99,12.92,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 00:00:00,97.67,8.55,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 01:00:00,108.87,10.96,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 02:00:00,71.69,15.23,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 03:00:00,96.82,20.86,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 04:00:00,86.91,22.99,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 05:00:00,79.36,32.29,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 06:00:00,77.75,40.16,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 07:00:00,55.35,48.06,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 08:00:00,64.35,61.13,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 09:00:00,63.26,64.97,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 10:00:00,66.46,66.55,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 11:00:00,45.0,74.77,75.0,123.54,0.0,0.0,0.0,0.0
2026-08-04 12:00:00,45.0,78.62,75.0,121.77,3.62,0.0,579.57,0.0
2026-08-04 13:00:00,45.0,75.02,75.0,121.99,0.02,0.0,3.79,0.0
2026-08-04 14:00:00,45.0,66.01,75.0,122.62,0.0,0.0,0.0,0.0
2026-08-04 15:00:00,45.0,63.04,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 16:00:00,45.0,60.07,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 17:00:00,45.0,47.96,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 18:00:00,45.0,42.12,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 19:00:00,45.0,34.62,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 20:00:00,45.0,23.54,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 21:00:00,45.0,18.93,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 22:00:00,45.0,7.62,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-04 23:00:00,45.0,9.07,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 00:00:00,45.0,9.6,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 01:00:00,45.0,8.62,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 02:00:00,45.0,17.52,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 03:00:00,45.0,16.13,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 04:00:00,45.0,24.55,75.0,123.75,0.0,0.0,0.0,0.0
